City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,78.04,77,75,10.36,US,1685164666
84,metlili chaamba,32.2667,3.6333,67.82,40,22,9.82,DZ,1685164666
85,marat,25.0701,45.4615,91.2,19,6,9.13,SA,1685164667
86,keflavik,64.0049,-22.5624,40.91,81,75,34.52,IS,1685164667
87,tiksi,71.6872,128.8694,34.72,100,100,5.97,RU,1685164667
88,flying fish cove,-10.4217,105.6791,74.88,88,100,11.5,CX,1685164668
89,ciudad lazaro cardenas,17.9583,-102.2,81.46,77,72,1.36,MX,1685164668
90,asau,46.4333,26.4,63.52,81,9,5.14,RO,1685164668
91,itamaraca,-7.7478,-34.8256,80.65,87,29,9.15,BR,1685164668
92,taltal,-25.4,-70.4833,63.46,71,99,1.01,CL,1685164669
93,novodvinsk,64.4165,40.8122,53.38,45,82,4.85,RU,1685164669
94,imbituba,-28.24,-48.6703,67.53,89,15,10.69,BR,1685164669
95,kintinku,-5.8833,35.2333,65.88,76,97,4.79,TZ,1685164670
96,olpad,21.3333,72.75,88.97,59,55,18.48,IN,1685164670
97,constitucion,-35.3333,-72.4167,50.47,77,45,11.18,CL,1685164670
98,port mathurin,-19.6833,63.4167,77.59,73,55,17.92,MU,1685164671
99,loa janan,-0.583,117.095,84.02,78,84,5.57,ID,1685164671
100,ingeniero jacobacci,-41.3427,-69.5448,31.64,66,0,7.87,AR,1685164671
101,bamboo flat,11.7,92.7167,91.49,62,20,8.05,IN,1685164671
102,chemolgan,43.1897,76.5292,73.06,30,3,5.59,KZ,1685164672
103,hadibu,12.65,54.0333,86.54,67,42,8.19,YE,1685164672
104,olonkinbyen,70.9221,-8.7187,33.19,83,100,16.8,SJ,1685164672
105,vadso,70.0744,29.7487,40.08,60,75,26.46,NO,1685164673
106,bukama,-9.2,25.85,64.47,58,66,2.59,CD,1685164673
107,playa del ingles,27.7567,-15.5787,62.4,77,1,4.85,ES,1685164515
108,yuzhno-kurilsk,44.0306,145.8556,57.78,81,88,12.48,RU,1685164674
109,fort st. john,56.2499,-120.8529,66.09,45,75,8.05,CA,1685164674
110,kuytun,54.3419,101.5036,50.74,51,98,5.41,RU,1685164674
111,nangong,37.3581,115.3744,66.27,78,100,10.63,CN,1685164675
112,acarau,-2.8856,-40.12,77.2,87,40,10.4,BR,1685164675
113,roma,43.2128,-75.4557,49.73,86,0,4.61,US,1685164535
114,prachuap khiri khan,12.2167,99.75,93.69,34,98,8.59,TH,1685164676
115,necochea,-38.5473,-58.7368,50.11,71,89,8.3,AR,1685164676
116,kayalpattinam,8.5667,78.1167,93.51,49,16,4.61,IN,1685164676
117,ahar,38.4774,47.0699,69.24,44,0,5.77,IR,1685164676
118,tateyama,34.9833,139.8667,69.04,62,100,8.99,JP,1685164677
119,kyenjojo,0.6328,30.6214,64.45,88,99,3.11,UG,1685164677
